fpath,fname,labelname,xmin,ymin,xmax,ymax
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000022.xml,image_sequence000022,rightonly,918,503,953,546
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000023.xml,image_sequence000023,rightonly,936,496,974,544
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000024.xml,image_sequence000024,rightonly,958,481,1004,531
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000025.xml,image_sequence000025,rightonly,979,462,1030,525
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000026.xml,image_sequence000026,rightonly,1012,448,1065,514
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000027.xml,image_sequence000027,rightonly,1048,430,1109,504
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000030.xml,image_sequence000030,rightonly,1282,273,1390,406
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000031.xml,image_sequence000031,rightonly,1418,194,1549,358
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000032.xml,image_sequence000032,rightonly,1639,70,1811,293
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000275.xml,image_sequence000275,pdestrian,864,571,893,605
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000276.xml,image_sequence000276,pdestrian,870,557,907,592
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000277.xml,image_sequence000277,pdestrian,883,553,926,590
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000278.xml,image_sequence000278,pdestrian,896,536,938,576
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000279.xml,image_sequence000279,pdestrian,911,537,958,585
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000280.xml,image_sequence000280,pdestrian,933,521,979,570
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000281.xml,image_sequence000281,pdestrian,953,509,1006,564
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000283.xml,image_sequence000283,pdestrian,1018,490,1094,564
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000285.xml,image_sequence000285,pdestrian,1151,422,1251,518
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000286.xml,image_sequence000286,pdestrian,1249,364,1390,485
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000287.xml,image_sequence000287,pdestrian,1445,260,1627,440
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000296.xml,image_sequence000296,laneclosing,888,540,925,577
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000297.xml,image_sequence000297,laneclosing,909,520,957,559
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000298.xml,image_sequence000298,laneclosing,936,499,991,540
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000299.xml,image_sequence000299,laneclosing,971,484,1030,535
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000300.xml,image_sequence000300,laneclosing,1011,463,1081,524
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000301.xml,image_sequence000301,laneclosing,1063,427,1149,497
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000302.xml,image_sequence000302,laneclosing,1140,387,1242,470
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000303.xml,image_sequence000303,laneclosing,1276,312,1396,418
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000304.xml,image_sequence000304,laneclosing,1544,154,1721,308
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000311.xml,image_sequence000311,pdestrian,933,530,978,568
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000312.xml,image_sequence000312,laneclosing,964,526,1008,570
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000313.xml,image_sequence000313,laneclosing,987,512,1048,563
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000314.xml,image_sequence000314,pdestrian,1038,494,1108,552
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000315.xml,image_sequence000315,pdestrian,1109,469,1190,542
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000316.xml,image_sequence000316,pdestrian,1216,433,1328,515
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000317.xml,image_sequence000317,pdestrian,1407,366,1546,487
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000318.xml,image_sequence000318,pdestrian,1779,217,1918,422
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000330.xml,image_sequence000330,pdestrian,914,527,946,557
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000330.xml,image_sequence000330,pdestrian,293,518,326,554
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000331.xml,image_sequence000331,pdestrian,263,517,301,550
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000331.xml,image_sequence000331,pdestrian,929,524,964,560
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000332.xml,image_sequence000332,pdestrian,227,508,265,548
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000332.xml,image_sequence000332,pdestrian,944,522,983,559
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000333.xml,image_sequence000333,pdestrian,183,512,230,553
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000333.xml,image_sequence000333,pdestrian,965,523,1004,561
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000335.xml,image_sequence000335,pdestrian,58,495,118,548
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000335.xml,image_sequence000335,pdestrian,1014,504,1065,546
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000336.xml,image_sequence000336,pdestrian,4,484,49,561
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000336.xml,image_sequence000336,pdestrian,1049,496,1107,549
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000339.xml,image_sequence000339,pdestrian,1232,426,1316,507
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000340.xml,image_sequence000340,pdestrian,1347,375,1461,477
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000341.xml,image_sequence000341,pdestrian,1556,284,1700,424
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000350.xml,image_sequence000350,laneclosing,952,548,991,589
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000351.xml,image_sequence000351,laneclosing,982,539,1027,582
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000352.xml,image_sequence000352,laneclosing,1017,522,1061,575
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000353.xml,image_sequence000353,laneclosing,1051,517,1105,564
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000354.xml,image_sequence000354,laneclosing,1105,494,1165,561
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000355.xml,image_sequence000355,laneclosing,1174,477,1246,547
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000356.xml,image_sequence000356,laneclosing,1267,454,1354,550
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000357.xml,image_sequence000357,laneclosing,1440,414,1544,526
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000358.xml,image_sequence000358,laneclosing,1749,329,1879,496
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000393.xml,image_sequence000393,stopsign,587,608,609,635
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000393.xml,image_sequence000393,stopsign,895,584,918,608
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000394.xml,image_sequence000394,stopsign,594,591,616,620
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000395.xml,image_sequence000395,stopsign,587,583,616,610
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000396.xml,image_sequence000396,stopsign,581,566,616,592
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000397.xml,image_sequence000397,stopsign,573,559,601,590
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000398.xml,image_sequence000398,stopsign,556,554,592,584
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000398.xml,image_sequence000398,stopsign,1001,523,1032,555
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000399.xml,image_sequence000399,stopsign,542,548,574,583
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000399.xml,image_sequence000399,stopsign,1023,516,1056,551
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000400.xml,image_sequence000400,stopsign,525,544,563,584
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000400.xml,image_sequence000400,stopsign,1051,508,1089,545
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000403.xml,image_sequence000403,stopsign,500,529,549,582
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000403.xml,image_sequence000403,stopsign,1197,482,1247,538
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000404.xml,image_sequence000404,stopsign,490,517,539,572
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000404.xml,image_sequence000404,stopsign,1269,462,1331,529
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000405.xml,image_sequence000405,stopsign,463,512,525,568
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000405.xml,image_sequence000405,stopsign,1344,456,1418,522
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000406.xml,image_sequence000406,stopsign,430,503,498,575
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000406.xml,image_sequence000406,stopsign,1439,435,1509,522
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000407.xml,image_sequence000407,stopsign,388,479,460,561
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000407.xml,image_sequence000407,stopsign,1533,414,1626,510
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000408.xml,image_sequence000408,stopsign,316,466,402,563
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000408.xml,image_sequence000408,stopsign,1651,384,1753,491
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000409.xml,image_sequence000409,stopsign,226,452,323,559
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000409.xml,image_sequence000409,stopsign,1811,342,1919,473
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000410.xml,image_sequence000410,stopsign,104,419,230,549
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000411.xml,image_sequence000411,stopsign,5,382,112,552
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000702.xml,image_sequence000702,rightturnonly,894,512,926,555
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000703.xml,image_sequence000703,rightturnonly,908,513,941,562
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000704.xml,image_sequence000704,rightturnonly,928,496,963,544
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000705.xml,image_sequence000705,rightturnonly,947,495,984,547
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000706.xml,image_sequence000706,rightturnonly,979,474,1019,529
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000707.xml,image_sequence000707,rightturnonly,1005,453,1051,520
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000708.xml,image_sequence000708,rightturnonly,1038,433,1090,509
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000709.xml,image_sequence000709,rightturnonly,1082,417,1142,508
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000710.xml,image_sequence000710,rightturnonly,1131,391,1198,494
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000711.xml,image_sequence000711,rightturnonly,1195,349,1271,465
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000712.xml,image_sequence000712,rightturnonly,1274,296,1365,434
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000713.xml,image_sequence000713,rightturnonly,1379,242,1485,413
/Users/chitrangtalaviya/Desktop/Images_traffic/video3/image_sequence000714.xml,image_sequence000714,rightturnonly,1539,161,1670,357
